,ex_date,split_factor
261,19970404000000,1.5
262,19970729000000,1.2
263,20040714000000,1.2
264,20050714000000,1.2
265,20060324000000,1.22
266,20080408000000,2.0
267,20110718000000,2.0
268,19950821000000,1.35
269,19970822000000,1.2
270,19960618000000,1.6
271,19981027000000,1.8
272,20000516000000,1.3800000000000001
273,20060214000000,1.33
274,19950913000000,1.16
275,19970310000000,1.5
276,19990610000000,1.5
277,20051227000000,1.28
278,20140424000000,1.5
279,19961031000000,1.4
280,19981120000000,1.2
281,20060410000000,1.68324
282,20070511000000,1.1
283,20080619000000,1.1
284,20100406000000,1.0699999999999998
285,20110426000000,1.5
286,20170512000000,1.5
287,19960610000000,1.1
288,19970709000000,1.1
289,20040528000000,2.0
290,20060426000000,1.3199999999999998
291,20060609000000,1.25
292,20081008000000,1.5
293,19970728000000,1.2
294,19980727000000,1.2
295,20060106000000,1.35
296,20140808000000,1.2
297,20160708000000,2.0
298,19970708000000,1.3
299,19980819000000,1.3557000000000001
300,20000711000000,1.09227
301,20060614000000,1.46445
302,20060614000000,1.08077
303,20051025000000,1.3800000000000001
304,19990518000000,2.0
305,20000526000000,1.5
306,20051118000000,1.28
307,20060420000000,1.4
308,20070522000000,1.1
309,20080606000000,1.4
310,20100505000000,1.55
311,20110506000000,1.3
312,20180516000000,1.5
313,19970626000000,1.35
314,19980410000000,1.7
315,20000614000000,1.2
316,20030916000000,1.8
317,20090603000000,1.7
318,20120510000000,1.8
319,19970627000000,2.0
320,19990601000000,1.3
321,20060515000000,1.3
322,20190510000000,1.45
323,19980921000000,1.3
324,20000612000000,1.2
325,20011017000000,1.2
326,20030523000000,1.2
327,20040525000000,1.2
328,20051229000000,1.25
329,20080710000000,1.4
330,20090605000000,1.3
331,20100624000000,1.5
332,20110707000000,1.2
333,20150717000000,1.2
334,19990429000000,1.6
335,20020913000000,1.6
336,20051111000000,1.3599999999999999
337,20130607000000,1.3
338,20140613000000,1.2
339,20161019000000,1.5
340,20180601000000,1.5
341,19980624000000,1.3
342,19990504000000,1.4
343,20000609000000,1.5
344,20060515000000,1.3199999999999998
345,20080627000000,1.2
346,20100527000000,2.0
347,19980528000000,1.5
348,20080114000000,1.14085
349,19981005000000,1.8
350,20010521000000,1.2
351,20030428000000,1.8
352,20031010000000,1.3
353,20060106000000,1.28
354,20080410000000,2.0
355,20110414000000,1.8
356,20120528000000,1.3
357,20060110000000,1.3800000000000001
358,20170607000000,2.0
359,20190516000000,1.2
360,19990427000000,2.0
361,20020604000000,1.5
362,20060413000000,1.8850000000000002
363,20070619000000,1.3
364,20080604000000,1.08637
365,20160527000000,2.5
366,19990901000000,1.5
367,20021112000000,1.6
368,20051216000000,1.26
369,20060606000000,1.8
370,20040720000000,2.0
371,20060317000000,1.25
372,20110610000000,1.2
373,20120423000000,1.3
374,20050629000000,1.05
375,20060111000000,1.31
376,20090611000000,1.5
377,20120628000000,1.1
378,20130628000000,1.1
379,20160617000000,1.4
380,20180629000000,1.2
381,20190620000000,1.3
382,20020724000000,1.2
383,20040722000000,2.0
384,20060207000000,1.3199999999999998
385,20031120000000,1.6
386,20060206000000,1.3599999999999999
387,20060420000000,1.25
388,20110519000000,2.0
389,20010403000000,1.8
390,20071102000000,1.1
391,20180716000000,1.4
392,20190528000000,1.4
393,20011011000000,1.5
394,20060331000000,1.33
395,20031031000000,2.0
396,20050621000000,2.0
397,20060113000000,1.35
398,20060321000000,1.3199999999999998
399,20070213000000,1.54062
400,20060113000000,1.35
401,20080516000000,1.4300000000000002
402,20170719000000,1.3
403,20010926000000,2.0
404,20021107000000,1.3
405,20040318000000,1.3
406,20060714000000,1.3199999999999998
407,20070412000000,1.5
408,20080603000000,2.0
409,20090710000000,1.1
410,20100827000000,2.5
411,20110715000000,1.3
412,20060720000000,1.468
413,20100803000000,2.0
414,20160706000000,1.35
415,20061031000000,1.7
416,20070524000000,1.07755
417,20140430000000,2.5
418,20160506000000,1.5
419,20081216000000,1.6
420,20101206000000,2.0
421,20120817000000,1.2
422,20150820000000,2.0
423,20170721000000,2.0
424,19990324000000,1.5
425,20000421000000,1.6
426,20051117000000,1.3199999999999998
427,20130514000000,1.3
428,20140617000000,1.5
429,19980601000000,1.8
430,20060524000000,1.3199999999999998
431,20000523000000,1.6
432,20030416000000,2.0
433,20040223000000,1.3
434,20050427000000,1.5
435,20060331000000,1.4
436,20060405000000,1.21
437,20080516000000,1.8
438,20100706000000,1.22
439,19970110000000,1.6
440,20000905000000,1.5
441,20130109000000,1.6
442,19970509000000,1.2
443,19971029000000,1.3709262
444,19980929000000,1.56
445,20061220000000,1.6674
446,19960910000000,1.5
447,19980507000000,1.8
448,20020729000000,1.2
449,19970516000000,1.1
450,19970909000000,1.6
451,20060703000000,1.625
452,20080530000000,1.8
453,19961011000000,1.3
454,19980617000000,1.5
455,19991019000000,1.5
456,20040609000000,1.2
457,20060711000000,1.4
458,20090527000000,1.4
459,20110506000000,1.3
460,19961227000000,1.4
461,19970716000000,1.2
462,19981019000000,1.15
463,20170424000000,1.1129822
464,19970808000000,1.3
465,20060301000000,1.33
466,20070406000000,1.6
467,19960902000000,1.1
468,20060912000000,1.28
469,20080528000000,1.8
470,19960903000000,1.9
471,19971106000000,1.9
472,20060329000000,1.4300000000000002
473,20140528000000,3.0
474,19970731000000,1.5
475,20020318000000,1.7
476,20020923000000,1.3
477,20030422000000,1.25
478,20040409000000,1.3
479,20060809000000,1.55
480,19970728000000,1.8
481,19990325000000,1.3
482,19991012000000,1.82342
483,20060627000000,1.7
484,20120521000000,1.3
485,20150603000000,2.0
486,20010626000000,1.2
487,20020618000000,1.3
488,20030717000000,1.2
489,20040629000000,1.2
490,20060228000000,1.3199999999999998
491,20060616000000,1.3
492,20070608000000,1.5
493,20090619000000,1.3
494,20120706000000,1.5
495,19961227000000,2.0
496,19971218000000,1.5
497,20060621000000,1.3699999999999999
498,20080812000000,2.0
499,20120808000000,1.2
500,19970117000000,1.7
501,19970717000000,1.2
502,20060406000000,1.3199999999999998
503,20161012000000,2.0
504,19970516000000,1.2
505,19970804000000,1.5
506,19980409000000,1.6
507,20040614000000,1.3
508,20060421000000,1.2
509,20070109000000,1.37196
510,19970303000000,1.5
511,19970710000000,1.3
512,19981009000000,1.3
513,20050523000000,1.1
514,20060420000000,1.25
515,20060605000000,2.0
516,20120531000000,1.4327400000000001
517,19970617000000,1.3
518,20000517000000,2.0
519,20010423000000,1.3
520,20030617000000,1.1
521,20061228000000,1.3199999999999998
522,20110316000000,2.0
523,20150923000000,3.0
524,19961022000000,1.3
525,19971107000000,1.4923
526,20000413000000,1.2
527,20010511000000,1.3
528,20040617000000,1.5
529,20070601000000,1.4
530,19970624000000,1.1
531,19980113000000,1.8
532,19990513000000,1.2
533,20010531000000,1.1
534,20020801000000,1.2
535,20060407000000,1.35
536,20060522000000,1.3
537,20070522000000,1.1
538,20120619000000,1.1
539,20130718000000,1.1
540,20150923000000,2.0
541,19961126000000,1.8
542,20060313000000,1.3800000000000001
543,20070323000000,2.0
544,20090617000000,1.5
545,20110329000000,1.3
546,19961227000000,1.8
547,19990427000000,1.7
548,20090608000000,1.49
549,20010522000000,1.5
550,20060217000000,1.31
551,20010822000000,1.1
552,20030521000000,1.8
553,20050520000000,1.5
554,20060329000000,1.26
555,20180810000000,1.5
556,19981015000000,2.0
557,20060418000000,1.34
558,19930531000000,1.2
559,19940621000000,1.2
560,19960814000000,1.15
561,19980521000000,1.58066
562,20060403000000,1.35
563,20170531000000,1.3
564,19940613000000,1.3
565,19950726000000,1.1
566,20000914000000,1.7
567,20040531000000,2.0
568,20060516000000,1.3
569,20110610000000,1.2
570,19930621000000,1.4
571,19940802000000,1.4
572,19960716000000,1.05
573,20070110000000,1.51
574,19930614000000,1.3
575,19940627000000,1.4
576,19950613000000,1.1
577,20070115000000,1.3
578,19930614000000,1.2
579,19940823000000,1.2
580,19950824000000,1.15
581,20081229000000,1.35
582,20130517000000,1.2
583,19940603000000,2.0
584,19950920000000,1.15
585,20060817000000,1.3397299999999999
586,19930607000000,1.2
587,19940714000000,1.4
588,20061226000000,1.2
589,20120625000000,1.8
590,19940927000000,1.6
591,19960723000000,1.3
592,19930719000000,1.2
593,19940816000000,1.3
594,19970709000000,1.1
595,19990702000000,1.5
596,20140109000000,3.5
597,19930705000000,1.2
598,19940826000000,1.3
599,19950824000000,1.25
600,19960528000000,1.2
601,19961009000000,1.4
602,20010531000000,1.6
603,20030605000000,1.3
604,20060711000000,1.2
605,19930712000000,1.2
606,19940422000000,1.3
607,19960731000000,1.2
608,20010530000000,1.5
609,20060615000000,1.3800000000000001
610,20070426000000,1.8
611,20080428000000,1.9
612,19940526000000,1.3
613,19970904000000,1.24299
614,20061211000000,1.1
615,20150814000000,1.3
616,20170707000000,1.3
617,20180622000000,1.3
618,20190703000000,1.3
619,19940714000000,1.2
620,19990427000000,1.3
621,20051201000000,1.5
622,20080401000000,1.3
623,20100414000000,1.1
624,20120518000000,1.1
625,20130604000000,1.1
626,20011019000000,1.2
627,20030710000000,1.2
628,20060802000000,1.2
629,19940526000000,1.1
630,19960214000000,1.1
631,19980504000000,1.8
632,20060331000000,1.4091
633,20090605000000,2.0
634,20100610000000,1.9
635,20160519000000,2.5
636,19940324000000,1.5
637,19960730000000,1.05
638,20020628000000,1.22692
639,20030528000000,1.6
640,20081106000000,1.1
641,20150911000000,3.0
642,19940603000000,1.2
643,19950830000000,1.1
644,20020320000000,1.6
645,20020829000000,1.8
646,20030826000000,2.0
647,20061206000000,1.08
648,19940517000000,1.2
649,19970611000000,1.2
650,20000530000000,1.8
651,20060324000000,1.3199999999999998
652,20060707000000,1.4
653,20150702000000,1.4
654,19940411000000,1.4
655,19960717000000,1.2
656,19970730000000,1.4
657,19980520000000,1.209
658,20060714000000,1.627
659,19940422000000,1.3
660,19950824000000,1.1
661,19960905000000,1.15
662,19970624000000,1.35
663,20070827000000,1.15
664,20110810000000,1.2
665,20120821000000,1.2
666,19940503000000,2.0
667,19950711000000,1.1
668,19970704000000,1.1
669,20060417000000,1.605
670,19940506000000,1.7
671,19950627000000,1.1
672,19960619000000,1.2
673,19970709000000,1.1
674,20111021000000,2.0
675,20180824000000,1.2
676,19940526000000,1.5
677,19950530000000,1.2
678,19960716000000,1.1
679,19970625000000,1.3
680,20060222000000,1.3199999999999998
681,19940616000000,1.2
682,19950606000000,1.1
683,19970618000000,1.1
684,19980430000000,1.2
685,19990415000000,1.25
686,20000602000000,1.2
687,20010523000000,1.7
688,20060607000000,1.34
689,19940526000000,1.2
690,19960819000000,1.1
691,20060301000000,1.517
692,19940407000000,2.0
693,19960808000000,1.1
694,19970623000000,1.2
695,19981023000000,1.3
696,20050707000000,1.3
697,20060322000000,1.1
698,20070608000000,2.0
699,20080508000000,1.5
700,20100513000000,1.5
701,19940711000000,1.5
702,19950815000000,1.1
703,19970930000000,1.05
704,20041021000000,1.3
705,20060317000000,1.3
706,20090603000000,1.2
707,20110527000000,1.5
708,20181026000000,1.3
709,19940328000000,2.0
710,19950620000000,1.1
711,20090120000000,1.1
712,19940531000000,1.8
713,19950509000000,1.1
714,19960724000000,1.1
715,19980717000000,1.1
716,20060217000000,1.1
717,20140704000000,2.0
718,19940427000000,1.2
719,19950512000000,1.2
720,19970715000000,1.25
721,20060109000000,1.3
722,20160503000000,1.5
723,20170612000000,1.4
724,19940714000000,1.7
725,20021022000000,1.3
726,20060928000000,1.59
727,19940427000000,1.6
728,19950627000000,1.1
729,19960710000000,1.1
730,19980713000000,1.1
731,20060811000000,1.5310000000000001
732,19940831000000,1.4
733,20070215000000,1.15
734,20100329000000,1.2
735,19940621000000,1.7
736,19950627000000,1.1
737,19961211000000,1.2
